,provider,app_version,text,rating,last_updated,translated,predicted,cluster_id
367,Google,3.35.4-3,problem med inloggning,1,2024-03-04 08:30:43,problem with login, NEITHER,3
391,Google,3.35.4-3,Går inte att logga in. Samma visa varje år vid deklarationstider. Borde inte vara något nytt?,1,2024-03-04 11:11:26,Unable to log in. Show the same every year at declaration times. Shouldn't be something new?, BUG,3
393,Google,3.22.5-3,Årets viktigaste vecka och Kivra är inte förberedda,1,2024-03-04 11:13:19,The most important week of the year and Kivra are not prepared, NEITHER,5
507,Google,3.35.4-3,Hade en annan tjänst förut som ALDRIG strulade. Det får bara inte strula när man får fakturor och andra viktiga meddelanden hos er.,1,2024-03-04 15:43:25,Had another service before that NEVER messed up. It just must not mess up when receiving invoices and other important messages from you., BUG,1
508,Google,3.35.4-3,svårt att klara av påfrestningar när många ska titta,3,2024-03-04 15:47:47,difficult to cope with stress when many people will be watching, FEATURE,6
580,Google,3.35.8-3,Hej idag går det inte att logga in! 04-03-2024,3,2024-03-04 17:50:12,"Hello, today it is not possible to log in! 04-03-2024", BUG,3
625,Google,3.34.1-3,"Kivra suger. Jag får upp räkningar, men kan inte betala i appen. Hellre brev i lådan som jag kan ha fysisk koll på.",1,2024-03-04 19:03:10,"Kivra sucks. I get bills, but can't pay in the app. Better letters in the box that I can physically keep track of.", NEITHER,7
813,Google,3.35.4-3,För mycket fel. Störning på störning. Alltid är det något som spökar.,3,2024-03-05 05:45:30,Too much wrong. Disturbance upon disturbance. There is always something haunting., NEITHER,8
865,Google,3.35.4-3,Dom få gånger man faktiskt behöver använda appen så strular den..,1,2024-03-05 06:55:10,"The few times you actually need to use the app, it crashes..", BUG,7
1016,Google,3.35.4-3,I am only leaving one star because I cannot leave zero stars. the service can fail for days and the service provides give no explanations or updates on when the service might be fully available again,1,2024-03-05 10:46:11,I am only leaving one star because I cannot leave zero stars. the service can fail for days and the service provides give no explanations or updates on when the service might be fully available again, NEITHER,1
1245,Google,3.35.4-3,Worst design and execution. Inbox doesn't load!!,1,2024-03-05 16:29:28,Worst design and execution. Inbox doesn't load!!, BUG,4
1330,Google,3.35.4-3,betalfunktionen skulle kunna bli mycket smidigare,3,2024-03-05 18:34:52,the payment function could be much smoother, FEATURE,9
1345,Google,3.35.4-3,"Appen säger Driftstörning och gjort nu väldigt lång tid, typ 1-2dgr. Går inte att logga in. Vad händer?",1,2024-03-05 18:59:14,"The app says Disruption and done now for a very long time, like 1-2 days. Unable to log in. What happens?", BUG,3
1383,Google,3.35.4-3,Det är jobbigt många dager Öppnas inte,1,2024-03-05 20:04:48,It's hard many days Does not open, NEITHER,4
1439,Google,3.35.4-3,Driftstörningar i snart två dygn nu... Mossigt. Man kanske ska gå tillbaka till pappersdeklaration.,1,2024-03-05 21:34:24,Operating disturbances for almost two days now... Mossy. Maybe you should go back to paper declarations., NEITHER,8
1537,Google,3.35.4-3,den fungerar ju inte.Det står driftstörningar. Det har det gjort i 2 dagar nu,1,2024-03-06 04:59:33,it doesn't work. It says malfunctions. It has been doing that for 2 days now, BUG,4
2125,Google,3.35.8-3,"Laggar mycket det sista, tar tid innan kvitton kommer och idag kan jag inte öppna det sista. Det står "" internetuppkoppling saknas "" fast jag har internetuppkoppling, allt annat på telefonen fungerar , och gårdagens kvitto går att öppna. Varför den rubriken när det uppenbarligen inte är problemet??",2,2024-03-06 17:40:26,"I put a lot of effort into the last one, it takes time before the receipts arrive and today I can't open the last one. It says ""Internet connection missing"" even though I have an Internet connection, everything else on the phone works, and yesterday's receipt can be opened. Why that headline when that's clearly not the problem??", BUG,0
2456,Google,3.35.4-3,Blir utloggad så fort jag öppnar en post. Står din session har gått ut. Hoppas det är tillfällig bugg bara.,3,2024-03-07 07:51:26,I get logged out as soon as I open a post. Says your session has expired. Hope it's just a temporary bug., BUG,3
2513,Google,3.35.8-3,"Idag 2024-03-07 blir man utkastad på några sekunder efter inloggning för att ""sessionen gått ut"".",2,2024-03-07 09:09:32,"Today 2024-03-07 you get kicked out in a few seconds after logging in because ""the session has expired"".", BUG,3
2824,Google,3.35.4-3,"Det är samlat. Överskådligt. Helt omöjligt att kontakta "" Kivra"" då man ändrat något som mobilnr eller mail. Mycket märkligt.",4,2024-03-07 19:25:45,"It is collected. Clear. Completely impossible to contact ""Kivra"" when you have changed something such as mobile number or email. Very odd.", BUG,5
2829,Google,3.35.8-3,Något har hänt kan inte komma åt delad Kivra den bara stänger ner direkt,3,2024-03-07 19:37:27,Something happened can't access shared Kivra it just shuts down right away, BUG,5
2883,Google,3.35.8-3,Delade brevlådor funkar inte. Appen slänger ut dig...,1,2024-03-07 22:14:07,Shared mailboxes do not work. The app throws you out…, BUG,7
3130,Google,3.35.4-3,"Skitbra koncept, dock väldigt ofta det är driftstörningar etc. Kommer självklart ändra min recension om detta förbättras i framtiden!:)",3,2024-03-08 16:31:44,"Terrible concept, however very often there are malfunctions etc. Will of course change my review if this improves in the future!:)", NEITHER,4
3262,Google,3.35.8-3,"Det är en härlig app, men jag önskar att den skulle användas som en standard post för fakturor, infobrev & kallelse för olika ändamål. Minskning av papper och förseningar mm.",4,2024-03-09 12:12:10,"It's a lovely app, but I wish it would be used as a default entry for invoices, info letters & summons for various purposes. Reduction of paper and delays etc.", FEATURE,0
3395,Google,3.35.8-3,När man loggar in så blir man ut loggad hela tiden efter ni haft problem. Så ska det inte vara.,1,2024-03-11 06:07:47,"When you log in, you are logged out all the time after you have a problem. It shouldn't be like that.", BUG,3
3571,Google,3.35.8-3,kvitto funkar just nu inte,3,2024-03-12 06:53:31,Receipt is currently not working, BUG,9
3679,Google,3.35.8-3,de bif dokumenten är svåra att se. de blir lätt suddiga o om man förstorar så stannar de ej i det läget. svårt som synskadad,2,2024-03-12 20:29:50,"the bif documents are hard to see. they get blurry easily and if you enlarge, they don't stay in that position. difficult as visually impaired", FEATURE,6
3994,Google,3.35.4-3,För lite information ! Hur länge gäller utbetalning!,2,2024-03-15 11:07:01,Too little information! How long is payment valid for?, NEITHER,9
3997,Google,3.35.12-3,varför är dokumentet kvar i inkorgen efter jag har flyttat det till eget map?,2,2024-03-15 11:09:01,why is the document still in the inbox after I've moved it to my own folder?, BUG,7
4055,Google,3.35.4-3,Inga kvitton kommer från många affärer har varit så här i typ flera månader funderar starkt på byta till Billo om det inte fixas snart:-(,1,2024-03-15 18:16:55,No receipts coming from many shops has been like this for like several months strongly considering switching to Billo if it's not fixed soon :-(, NEITHER,9
4067,Google,3.35.12-3,Har sen några månader tillbaka slutat få pushnotiser fast jag har det aktiverat.,2,2024-03-15 21:06:59,"Since a few months ago, I stopped receiving push notifications even though I have it activated.", BUG,2
4100,Google,3.35.8-3,vet inte vem som öppnat Kivra konto i mitt namn därför får ni 1 i betyg för ni inte krävt verifiering via telefon plus email vet inte ens vilket email konto detta är kopplat till,1,2024-03-16 08:48:25,"don't know who opened a Kivra account in my name, therefore you get a 1 rating because you didn't require verification via phone plus email, don't even know which email account this is connected to", NEITHER,5
4108,Google,3.35.12-3,"Fungerar allmänt bra för det den ska göra, dock byter den tangentbord konsekvent på min telefon till engelska varje gång jag öppnar appen så jag måste byta tillbaka sen, trots att jag aldrig skriver nåt i den. Ogillar att ha reklamblad från Coop nu i den dock då det känns som att min egna digitala brevlåda nu riskerar att bli reklambombad.",4,2024-03-16 12:04:35,"Generally works well for what it's supposed to do, however it consistently switches the keyboard on my phone to English every time I open the app so I have to switch back later, even though I never type anything in it. Dislike having leaflets from Coop in it now, however, as it feels like my own digital mailbox is now at risk of being bombarded with advertisements.", NEITHER,7
